Gmt time,Open,High,Low,Close,Volume
06.10.2020 14:22:00.000,115.338,115.348,115.247,115.297,3149719.9535
06.10.2020 14:23:00.000,115.298,115.398,115.297,115.347,3530430.0785
06.10.2020 14:24:00.000,115.357,115.368,115.077,115.138,3266119.957
06.10.2020 14:25:00.000,115.127,115.188,114.977,115.037,5426370.1439
06.10.2020 14:26:00.000,115.028,115.208,115.017,115.177,3248929.9774
06.10.2020 14:27:00.000,115.188,115.278,115.157,115.248,3270469.9039
06.10.2020 14:28:00.000,115.237,115.268,115.207,115.218,2226350.069
06.10.2020 14:29:00.000,115.208,115.227,115.147,115.187,3608989.954
06.10.2020 14:30:00.000,115.187,115.328,115.157,115.328,3288429.9755
06.10.2020 14:31:00.000,115.338,115.348,115.207,115.237,3509239.912
06.10.2020 14:32:00.000,115.227,115.238,115.107,115.127,2909450.0542
06.10.2020 14:33:00.000,115.138,115.178,115.087,115.097,3365600.1091
06.10.2020 14:34:00.000,115.108,115.188,115.007,115.138,4652219.7723
06.10.2020 14:35:00.000,115.128,115.178,115.058,115.137,3048389.9117
06.10.2020 14:36:00.000,115.147,115.178,115.057,115.067,3450489.9979
06.10.2020 14:37:00.000,115.058,115.058,114.927,114.988,3888180.0175
06.10.2020 14:38:00.000,114.978,115.028,114.948,114.957,2707370.0428
06.10.2020 14:39:00.000,114.958,114.998,114.837,114.977,4089139.9384
06.10.2020 14:40:00.000,114.978,115.138,114.978,115.117,3484309.9117
06.10.2020 14:41:00.000,115.118,115.218,115.067,115.148,2908159.9712
06.10.2020 14:42:00.000,115.137,115.228,115.137,115.207,3525640.0108
06.10.2020 14:43:00.000,115.218,115.218,114.667,114.768,8270469.6655
06.10.2020 14:44:00.000,114.757,114.868,114.557,114.817,8787329.6738
06.10.2020 14:45:00.000,114.827,115.017,114.777,115.017,6631720.0661
06.10.2020 14:46:00.000,115.027,115.068,114.897,115.027,5429930.2101
06.10.2020 14:47:00.000,115.027,115.037,114.958,114.997,4327350.1396
06.10.2020 14:48:00.000,115.008,115.018,114.917,114.948,4612929.821
06.10.2020 14:49:00.000,114.957,115.038,114.917,114.997,4749949.9321
06.10.2020 14:50:00.000,115.007,115.178,115.007,115.147,5191450.119
06.10.2020 14:51:00.000,115.167,115.228,115.158,115.187,4270199.7757
06.10.2020 14:52:00.000,115.177,115.188,115.117,115.167,3868619.9188
06.10.2020 14:53:00.000,115.178,115.188,115.097,115.157,4472509.861
06.10.2020 14:54:00.000,115.147,115.147,115.017,115.038,5048409.9388
06.10.2020 14:55:00.000,115.038,115.047,114.937,115.027,3709429.9793
06.10.2020 14:56:00.000,115.037,115.078,114.917,115.047,4230410.099
06.10.2020 14:57:00.000,115.057,115.078,115.007,115.058,4332029.8195
06.10.2020 14:58:00.000,115.068,115.108,114.937,114.967,4871779.9187
06.10.2020 14:59:00.000,114.978,115.018,114.947,114.967,5152530.1933
06.10.2020 15:00:00.000,114.968,115.048,114.958,115.037,3434010.0288
06.10.2020 15:01:00.000,115.048,115.108,115.027,115.088,3645849.9432
06.10.2020 15:02:00.000,115.087,115.087,114.958,114.987,3628910.0647
