INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 3.3847999999991885
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 14.47514179999854
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 11.025649199998668
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 4.471681799998748
INFO:root:Ticker APPL, Size 84, Market Value Bought 114.6999354, Market Value Sold None Enter Time 2020-05-10 14:01:00 Sell Time None Trande UP Profit -3.5225736000011807
INFO:root:Ticker APPL, Size 76, Market Value Bought 114.7209396, Market Value Sold None Enter Time 2020-05-10 14:02:00 Sell Time None Trande UP Profit -4.783409600000539
INFO:root:Ticker APPL, Size 68, Market Value Bought 114.7609476, Market Value Sold None Enter Time 2020-05-10 14:03:00 Sell Time None Trande UP Profit -7.0004368000005
INFO:root:Ticker APPL, Size 61, Market Value Bought 114.71093759999998, Market Value Sold None Enter Time 2020-05-10 14:04:00 Sell Time None Trande UP Profit -3.2291935999995616
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 78.00308640000358
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 38.05595640000192
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 37.256856000002756
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 7.009800000002286
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 17.75214180000134
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 13.983649200001196
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 7.168681800001053
INFO:root:Ticker APPL, Size 84, Market Value Bought 114.6999354, Market Value Sold None Enter Time 2020-05-10 14:01:00 Sell Time None Trande UP Profit -1.0865735999990989
INFO:root:Ticker APPL, Size 76, Market Value Bought 114.7209396, Market Value Sold None Enter Time 2020-05-10 14:02:00 Sell Time None Trande UP Profit -2.5794095999986553
INFO:root:Ticker APPL, Size 68, Market Value Bought 114.7609476, Market Value Sold None Enter Time 2020-05-10 14:03:00 Sell Time None Trande UP Profit -5.028436799998815
INFO:root:Ticker APPL, Size 61, Market Value Bought 114.71093759999998, Market Value Sold None Enter Time 2020-05-10 14:04:00 Sell Time None Trande UP Profit -1.4601935999980498
INFO:root:Ticker APPL, Size 55, Market Value Bought 114.67993140000002, Market Value Sold None Enter Time 2020-05-10 14:05:00 Sell Time None Trande UP Profit 0.38877299999981574
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 81.4230864000029
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 41.135956400001305
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 40.0568560000022
